iter,objective,grad_norm
2.880000000000000000e+02,2.879616979981792824e+01,1.888483127416484706e+02
2.890000000000000000e+02,2.875132983343807780e+01,1.883409156726046660e+02
2.900000000000000000e+02,2.870673035978228782e+01,1.878363259313790934e+02
2.910000000000000000e+02,2.866236931781669739e+01,1.873353501970139234e+02
2.920000000000000000e+02,2.861824409579843476e+01,1.868392246837209427e+02
2.930000000000000000e+02,2.857435220713951551e+01,1.863450363990091603e+02
2.940000000000000000e+02,2.853069164065869856e+01,1.858569595477478629e+02
2.950000000000000000e+02,2.848725952468442912e+01,1.853697884322198206e+02
2.960000000000000000e+02,2.844405468573249252e+01,1.848852623893672273e+02
2.970000000000000000e+02,2.840107520227627091e+01,1.844034332427122536e+02
2.980000000000000000e+02,2.835831935610858068e+01,1.839241460770935532e+02
2.990000000000000000e+02,2.831578504693884923e+01,1.834492720577689227e+02
3.000000000000000000e+02,2.827347002736461334e+01,1.829761926548407303e+02
3.010000000000000000e+02,2.823137290519428788e+01,1.825049004608966356e+02
3.020000000000000000e+02,2.818949228837456644e+01,1.820356203627247851e+02
3.030000000000000000e+02,2.814782639102303108e+01,1.815729400987082727e+02
3.040000000000000000e+02,2.810637107659240641e+01,1.811175528091513627e+02
3.050000000000000000e+02,2.806512338209070023e+01,1.806638360671836949e+02
3.060000000000000000e+02,2.802408167881678480e+01,1.802161411624115601e+02
3.070000000000000000e+02,2.798324258062284642e+01,1.797732175679237230e+02
3.080000000000000000e+02,2.794260376918370881e+01,1.793344615973957730e+02
3.090000000000000000e+02,2.790216255035404913e+01,1.789001618351070988e+02
3.100000000000000000e+02,2.786191691425170447e+01,1.784674072469555597e+02
3.110000000000000000e+02,2.782186566913184933e+01,1.780365259464950611e+02
3.120000000000000000e+02,2.778200749708394568e+01,1.776073941042706394e+02
3.130000000000000000e+02,2.774234101095548866e+01,1.771818042533128619e+02
3.140000000000000000e+02,2.770286398994928945e+01,1.767603759890453148e+02
3.150000000000000000e+02,2.766357448652701123e+01,1.763404162221681588e+02
3.160000000000000000e+02,2.762447135870287696e+01,1.759224824528407112e+02
3.170000000000000000e+02,2.758555310176957320e+01,1.755077530303895514e+02
3.180000000000000000e+02,2.754681807076750033e+01,1.750944714040466010e+02
3.190000000000000000e+02,2.750826520001680464e+01,1.746826137603778477e+02
3.200000000000000000e+02,2.746989336488824307e+01,1.742730859160067496e+02
3.210000000000000000e+02,2.743170110569728593e+01,1.738654453214656144e+02
3.220000000000000000e+02,2.739368725896003554e+01,1.734592051879359644e+02
3.230000000000000000e+02,2.735585079624660665e+01,1.730543601743713680e+02
3.240000000000000000e+02,2.731819066816112596e+01,1.726518830026915055e+02
3.250000000000000000e+02,2.728070481418705029e+01,1.722562145501258328e+02
3.260000000000000000e+02,2.724339048733471103e+01,1.718620901404747769e+02
3.270000000000000000e+02,2.720624665928388453e+01,1.714695630484851847e+02
3.280000000000000000e+02,2.716927219399866189e+01,1.710788194174035084e+02
3.290000000000000000e+02,2.713246600535022424e+01,1.706893902016921629e+02
3.300000000000000000e+02,2.709582707833183335e+01,1.703028242268396468e+02
3.310000000000000000e+02,2.705935331942245625e+01,1.699225267347547401e+02
3.320000000000000000e+02,2.702304204410866006e+01,1.695445009354968136e+02
3.330000000000000000e+02,2.698689210955321371e+01,1.691677703840967411e+02
3.340000000000000000e+02,2.695090238077240130e+01,1.687943287052260644e+02
3.350000000000000000e+02,2.691507132121348533e+01,1.684224569520301316e+02
3.360000000000000000e+02,2.687939779872693435e+01,1.680527331918725338e+02
3.370000000000000000e+02,2.684388068173758057e+01,1.676842569440984221e+02
3.380000000000000000e+02,2.680851910134035165e+01,1.673169923289648011e+02
3.390000000000000000e+02,2.677331220960889624e+01,1.669509180329201001e+02
3.400000000000000000e+02,2.673825916779835410e+01,1.665860297795046847e+02
3.410000000000000000e+02,2.670335914224046192e+01,1.662223233134489249e+02
3.420000000000000000e+02,2.666861130430833882e+01,1.658597944004989415e+02
3.430000000000000000e+02,2.663401483038167328e+01,1.654984388272463036e+02
3.440000000000000000e+02,2.659956890181213751e+01,1.651382524009576969e+02
3.450000000000000000e+02,2.656527270488907888e+01,1.647792309494081167e+02
3.460000000000000000e+02,2.653112540798267105e+01,1.644217397247975327e+02
3.470000000000000000e+02,2.649712603600285377e+01,1.640656533843216209e+02
3.480000000000000000e+02,2.646327354320369096e+01,1.637129100256590277e+02
3.490000000000000000e+02,2.642956633073722017e+01,1.633617975433562037e+02
3.500000000000000000e+02,2.639600356033065864e+01,1.630109771901020395e+02
3.510000000000000000e+02,2.636258482718564622e+01,1.626608441944071899e+02
3.520000000000000000e+02,2.632930921458045148e+01,1.623144829336046087e+02
3.530000000000000000e+02,2.629617507536320886e+01,1.619694794093379073e+02
3.540000000000000000e+02,2.626318160325059736e+01,1.616255828115579334e+02
3.550000000000000000e+02,2.623032776492888019e+01,1.612860282581226556e+02
3.560000000000000000e+02,2.619761166221493198e+01,1.609483434349434390e+02
3.570000000000000000e+02,2.616503229540546727e+01,1.606130582353603984e+02
3.580000000000000000e+02,2.613258834001324615e+01,1.602797557412170306e+02
3.590000000000000000e+02,2.610027886325106650e+01,1.599475051370423841e+02
3.600000000000000000e+02,2.606810316247967663e+01,1.596163871724746457e+02
3.610000000000000000e+02,2.603606027963829916e+01,1.592884847363923200e+02
3.620000000000000000e+02,2.600414887774984507e+01,1.589616169669065187e+02
3.630000000000000000e+02,2.597236824627004026e+01,1.586361900917154060e+02
3.640000000000000000e+02,2.594071736623099866e+01,1.583137682591604118e+02
3.650000000000000000e+02,2.590919495836602238e+01,1.579924621774547404e+02
3.660000000000000000e+02,2.587780033776772015e+01,1.576721665408630599e+02
3.670000000000000000e+02,2.584653276453201087e+01,1.573544369031309031e+02
3.680000000000000000e+02,2.581539082587699951e+01,1.570391645942849550e+02
3.690000000000000000e+02,2.578437351826206836e+01,1.567248751167663841e+02
3.700000000000000000e+02,2.575348020448962671e+01,1.564115649064474098e+02
3.710000000000000000e+02,2.572271025109265352e+01,1.560992304182490216e+02
3.720000000000000000e+02,2.569206302830871635e+01,1.557878681259688278e+02
3.730000000000000000e+02,2.566153790714034955e+01,1.554775223787680432e+02
3.740000000000000000e+02,2.563113424475615432e+01,1.551681705032328864e+02
3.750000000000000000e+02,2.560085141591777358e+01,1.548597795190647446e+02
3.760000000000000000e+02,2.557068880587046067e+01,1.545523459808088376e+02
3.770000000000000000e+02,2.554064580343258584e+01,1.542458664610667824e+02
3.780000000000000000e+02,2.551072180097110831e+01,1.539403375503351299e+02
3.790000000000000000e+02,2.548091616880930133e+01,1.536362292015870423e+02
3.800000000000000000e+02,2.545122809262494101e+01,1.533334369328973708e+02
3.810000000000000000e+02,2.542165683526401310e+01,1.530329237259221316e+02
3.820000000000000000e+02,2.539220108715617741e+01,1.527352094948487320e+02
3.830000000000000000e+02,2.536285977430638638e+01,1.524389212870682115e+02
3.840000000000000000e+02,2.533363210388605680e+01,1.521438781839139551e+02
3.850000000000000000e+02,2.530451743280242383e+01,1.518497251345621919e+02
